"Zip Code","Community","Estimated Median Income"
91733,"El Monte, South El Monte","$59,375"
91740,"Glendora","$92,975"
91741,"Glendora","$113,446"
91744,"City of Industry, La Puente, Valinda","$80,266"
91745,"Hacienda Heights","$94,608"
91746,"Avocado Heights, Bassett, West Puente Valley","$79,042"
91748,"City of Industry, Rowland Heights","$77,183"
91750,"La Verne","$96,184"
91754,"Monterey Park","$71,735"
91755,"Monterey Park","$66,355"
91759,"Mount Baldy (Portion in LA County)","$101,688"
91765,"Diamond Bar","$99,705"
91766,"Pomona (Phillips Ranch)","$67,756"
91767,"Pomona","$70,039"
91768,"Pomona","$64,820"
91770,"Rosemead","$65,042"
91773,"San Dimas","$100,614"
91775,"San Gabriel","$99,362"
91776,"San Gabriel","$70,538"
91780,"Temple City","$88,119"
91789,"City of Industry, Diamond Bar, Walnut","$116,583"
91790,"West Covina","$93,181"
91791,"West Covina","$89,794"
91792,"West Covina","$88,610"
91801,"Alhambra","$73,060"
91803,"Alhambra","$72,773"
93510,"Acton","$113,056"
93532,"Elizabeth Lake, Lake Hughes, Leona Valley, Sandberg, Three Points","$80,357"
93534,"Lancaster","$46,875"
93535,"Hi Vista, Lake Los Angeles, Lancaster, Roosevelt Corner, Wilsona Gardens","$51,560"
93536,"Del Sur, Fairmont, Lancaster, Metler Valley, Neenach, Quartz Hill","$89,987"
93543,"Juniper Hills, Littlerock, Sun Village","$61,936"
93544,"Crystalaire, Llano","$73,409"
93550,"Lake Los Angeles, Palmdale","$54,693"
93551,"City Ranch, Leona Valley, Palmdale","$98,181"
93552,"Palmdale","$73,074"
93553,"Juniper Hills, Pearblossom","$59,805"
93563,"Pearblossom, Valyermo","$210,600"
93591,"Lake Los Angeles, Palmdale","$53,733"
